Time;AMF_UE_NGAP_ID;ip_source;procedureCode;EPD;spare;SecHdr;Type;NAS_KSI;5GSRegType;5GSID;UESecCap;PayloadContainerType;PayloadContainer;RES;Seqn;EPD_2;spare_2;SecHdr_2;NASSecAlgo;EPD_3;spare_3;SecHdr_3;Type_2;5GMMCause;Label
4.001164;11;20.0.2.10;46;126;0;2;67;-1;-1;-1;-1;-1;-1;-1;1;126;0;0;-1;-1;-1;-1;-1;-1;valid
4.001267;11;20.0.2.10;46;126;0;2;103;-1;-1;-1;-1;1;8;-1;2;126;0;0;-1;46;-1;-1;-1;-1;valid
4.168818;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;valid
4.170974;12;20.0.20.10;4;126;0;0;86;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;valid
4.171142;12;20.0.2.10;46;126;0;0;87;-1;-1;-1;-1;-1;-1;16;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;valid
4.172452;12;20.0.20.10;4;126;0;3;93;0;-1;-1;2;-1;-1;-1;0;126;0;0;0;-1;-1;-1;-1;-1;valid
4.172653;12;20.0.2.10;46;126;0;4;94;7;1;1;2;1;-1;-1;0;126;0;0;-1;126;0;0;65;-1;valid
4.177408;12;20.0.20.10;14;126;0;2;66;-1;-1;2;-1;-1;-1;-1;1;126;0;0;-1;-1;-1;-1;-1;-1;valid
4.177725;12;20.0.2.10;46;126;0;2;67;-1;-1;-1;-1;-1;-1;-1;1;126;0;0;-1;-1;-1;-1;-1;-1;valid
4.177826;12;20.0.2.10;46;126;0;2;103;-1;-1;-1;-1;1;8;-1;2;126;0;0;-1;46;-1;-1;-1;-1;valid
4.368944;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;valid
4.379678;13;20.0.20.10;4;126;0;0;86;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;valid
4.379968;13;20.0.2.10;46;126;0;0;87;-1;-1;-1;-1;-1;-1;16;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;valid
4.381307;13;20.0.20.10;4;126;0;3;93;0;-1;-1;2;-1;-1;-1;0;126;0;0;0;-1;-1;-1;-1;-1;valid
4.381489;13;20.0.2.10;46;126;0;4;94;7;1;1;2;1;-1;-1;0;126;0;0;-1;126;0;0;65;-1;valid
4.401049;13;20.0.20.10;14;126;0;2;66;-1;-1;2;-1;-1;-1;-1;1;126;0;0;-1;-1;-1;-1;-1;-1;valid
4.401335;13;20.0.2.10;46;126;0;2;67;-1;-1;-1;-1;-1;-1;-1;1;126;0;0;-1;-1;-1;-1;-1;-1;valid
4.401436;13;20.0.2.10;46;126;0;2;103;-1;-1;-1;-1;1;8;-1;2;126;0;0;-1;46;-1;-1;-1;-1;valid
4.568775;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;valid
4.57587;14;20.0.20.10;4;126;0;0;86;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;valid
4.576104;14;20.0.2.10;46;126;0;0;87;-1;-1;-1;-1;-1;-1;16;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;valid
4.577561;14;20.0.20.10;4;126;0;3;93;0;-1;-1;2;-1;-1;-1;0;126;0;0;0;-1;-1;-1;-1;-1;valid
4.577773;14;20.0.2.10;46;126;0;4;94;7;1;1;2;1;-1;-1;0;126;0;0;-1;126;0;0;65;-1;valid
4.601362;14;20.0.20.10;14;126;0;2;66;-1;-1;2;-1;-1;-1;-1;1;126;0;0;-1;-1;-1;-1;-1;-1;valid
4.60169;14;20.0.2.10;46;126;0;2;67;-1;-1;-1;-1;-1;-1;-1;1;126;0;0;-1;-1;-1;-1;-1;-1;valid
4.601848;14;20.0.2.10;46;126;0;2;103;-1;-1;-1;-1;1;8;-1;2;126;0;0;-1;46;-1;-1;-1;-1;valid
4.768771;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;valid
4.784858;15;20.0.20.10;4;126;0;0;86;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;valid
4.785038;15;20.0.2.10;46;126;0;0;87;-1;-1;-1;-1;-1;-1;16;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;valid
4.786357;15;20.0.20.10;4;126;0;3;93;0;-1;-1;2;-1;-1;-1;0;126;0;0;0;-1;-1;-1;-1;-1;valid
4.786516;15;20.0.2.10;46;126;0;4;94;7;1;1;2;1;-1;-1;0;126;0;0;-1;126;0;0;65;-1;valid
4.80657;15;20.0.20.10;14;126;0;2;66;-1;-1;2;-1;-1;-1;-1;1;126;0;0;-1;-1;-1;-1;-1;-1;valid
4.80706;15;20.0.2.10;46;126;0;2;67;-1;-1;-1;-1;-1;-1;-1;1;126;0;0;-1;-1;-1;-1;-1;-1;valid
4.8072;15;20.0.2.10;46;126;0;2;103;-1;-1;-1;-1;1;8;-1;2;126;0;0;-1;46;-1;-1;-1;-1;valid
4.968822;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;valid
4.982094;16;20.0.20.10;4;126;0;0;86;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;valid
4.982269;16;20.0.2.10;46;126;0;0;87;-1;-1;-1;-1;-1;-1;16;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;valid
4.983914;16;20.0.20.10;4;126;0;3;93;0;-1;-1;2;-1;-1;-1;0;126;0;0;0;-1;-1;-1;-1;-1;valid
4.984093;16;20.0.2.10;46;126;0;4;94;7;1;1;2;1;-1;-1;0;126;0;0;-1;126;0;0;65;-1;valid
5.001835;16;20.0.20.10;14;126;0;2;66;-1;-1;2;-1;-1;-1;-1;1;126;0;0;-1;-1;-1;-1;-1;-1;valid
5.002116;16;20.0.2.10;46;126;0;2;67;-1;-1;-1;-1;-1;-1;-1;1;126;0;0;-1;-1;-1;-1;-1;-1;valid
5.002214;16;20.0.2.10;46;126;0;2;103;-1;-1;-1;-1;1;8;-1;2;126;0;0;-1;46;-1;-1;-1;-1;valid
5.168806;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;valid
5.188504;17;20.0.20.10;4;126;0;0;86;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;valid
5.188728;17;20.0.2.10;46;126;0;0;87;-1;-1;-1;-1;-1;-1;16;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;valid
5.190156;17;20.0.20.10;4;126;0;3;93;0;-1;-1;2;-1;-1;-1;0;126;0;0;0;-1;-1;-1;-1;-1;valid
5.190327;17;20.0.2.10;46;126;0;4;94;7;1;1;2;1;-1;-1;0;126;0;0;-1;126;0;0;65;-1;valid
5.207127;17;20.0.20.10;14;126;0;2;66;-1;-1;2;-1;-1;-1;-1;1;126;0;0;-1;-1;-1;-1;-1;-1;valid
5.207409;17;20.0.2.10;46;126;0;2;67;-1;-1;-1;-1;-1;-1;-1;1;126;0;0;-1;-1;-1;-1;-1;-1;valid
5.207507;17;20.0.2.10;46;126;0;2;103;-1;-1;-1;-1;1;8;-1;2;126;0;0;-1;46;-1;-1;-1;-1;valid
5.368873;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;valid
5.37058;18;20.0.20.10;4;126;0;0;86;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;valid
5.37078;18;20.0.2.10;46;126;0;0;87;-1;-1;-1;-1;-1;-1;16;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;valid
5.371947;18;20.0.20.10;4;126;0;3;93;0;-1;-1;2;-1;-1;-1;0;126;0;0;0;-1;-1;-1;-1;-1;valid
5.372101;18;20.0.2.10;46;126;0;4;94;7;1;1;2;1;-1;-1;0;126;0;0;-1;126;0;0;65;-1;valid
5.389443;18;20.0.20.10;14;126;0;2;66;-1;-1;2;-1;-1;-1;-1;1;126;0;0;-1;-1;-1;-1;-1;-1;valid
5.389782;18;20.0.2.10;46;126;0;2;67;-1;-1;-1;-1;-1;-1;-1;1;126;0;0;-1;-1;-1;-1;-1;-1;valid
5.389875;18;20.0.2.10;46;126;0;2;103;-1;-1;-1;-1;1;8;-1;2;126;0;0;-1;46;-1;-1;-1;-1;valid
5.568798;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;valid
